code,iso,country,Pop,PopGrowthRate,PopDensity,GDP,LandArea,GDPpc,SDGI,EPI2018Score,EPI2018Rank,AIR.current,HAD.current,PME.current,PMW.current,DST.current,DXT.current
100,BGR,Bulgaria,7.127822,-0.701382098,65.65790346,126.835,108560,17794.3557,72.5,67.85,30,68.49,41.64,85.44,87.33,49.15,56.66
854,BFA,Burkina Faso,18.646433,2.915614034,68.1521674,30.62090813,273600,1642.185834,49.9,42.83,154,61.85,4.63,100,99.99,30.57,26.37
108,BDI,Burundi,10.524117,3.135333146,409.8176402,7.589746511,25680,721.1765615,51.8,27.43,180,36.92,4.25,54.01,63.38,41.15,35.2
384,CIV,C̫te d'Ivoire,23.695919,2.510353568,74.51546855,81.15293531,318000,3424.76421,53.3,45.25,139,41.91,7.72,62.51,66.9,43.37,31.68
132,CPV,Cabo Verde,0.53956,1.239580878,133.8858561,3.277694564,4030,6074.754548,-9999,56.94,89,50.54,7.42,79.1,79.47,30.07,37.35
116,KHM,Cambodia,15.76237,1.564833471,89.29509404,54.61859125,176520,3465.125565,58.2,43.23,150,99.28,100,100,97.59,49.84,38.66
120,CMR,Cameroon,23.439189,2.613585149,49.58471156,78.44669479,472710,3346.817793,52.8,40.81,161,70.81,27.03,100,100,73.64,72.33
124,CAN,Canada,36.286425,1.213891076,3.990365107,1563.5,9093510,43087.73873,78,72.18,25,42.93,0,68.91,74.2,48.21,32.41
140,CAF,Central African Republic,4.594621,1.06165489,7.375230344,2.976765097,622980,647.8804448,36.7,36.42,171,60.82,2.52,100,99.36,78.88,78.25
148,TCD,Chad,14.452543,3.114092441,11.47755956,26.67816128,1259200,1845.914679,41.5,45.34,137,69.22,65.17,70.97,72.86,5.42,1.32
152,CHL,Chile,17.909754,0.824579726,24.08740175,406.672,743532,22706.73288,71.6,57.49,84,14.39,25.85,1.05,12.44,60.12,54.05
156,CHN,China,1378.665,0.541478512,146.850662,19852,9388211,14399.43714,67.1,50.74,120,77.01,44.78,100,97.01,59.62,53.89
170,COL,Colombia,48.653419,0.876786632,43.85166201,638.543,1109500,13124.31918,64.8,65.22,42,64.38,10.95,100,100,33.35,26.68
174,COM,Comoros,0.795601,2.311191381,427.5126276,1.122714212,1861,1411.152339,-9999,44.24,146,84.43,61.08,100,100,64.39,51.91
188,CRI,Costa Rica,4.857274,1.022696047,95.12875049,74.8092691,51060,15401.4925,69.8,67.85,30,53.88,5.15,86.69,86.04,63.77,38.99
191,HRV,Croatia,4.1706,-0.788234222,74.52823445,89.86469266,55960,21547.18569,76.9,65.45,41,64.07,48.68,72.84,75.83,49.32,37.14
192,CUB,Cuba,11.475982,0.126866978,110.3247645,239.3704429,104020,20858.38431,75.5,63.42,55,86.47,66.18,100,100,59.67,90.98
196,CYP,Cyprus,1.170125,0.784179797,126.6369048,26.68059236,9240,22801.48903,70.6,72.6,24,87.5,90.12,85.49,86.02,56.67,42.62
203,CZE,Czech Republic,10.561633,0.147567084,136.7909986,331.137,77210,31352.82205,81.9,67.68,33,65.77,72.86,56.56,65.55,57.5,56.64
180,COD,Dem. Rep. Congo,78.736153,3.278533569,34.73066452,58.57137876,2267050,743.8943424,42.7,30.41,178,22.57,5.97,31.83,35.45,48.66,31.66
208,DNK,Denmark,5.731118,0.834637611,135.6092471,263.438,42262,45966.24952,84.2,81.6,3,99.16,99.75,100,97.53,96.8,45.21
262,DJI,Djibouti,0.942333,1.595864748,40.65284728,3.178944562,23180,3373.483218,49.6,40.04,163,69.73,25.18,100,98.85,11.65,10.36
212,DMA,Dominica,0.073543,0.519410867,98.05733333,0.746560183,750,10151.34252,-9999,59.38,73,80.39,50.97,100,100,39.35,23.82
214,DOM,Dominican Republic,10.648791,1.137056669,220.4262265,150.136,48310,14098.87752,67.2,64.71,46,77.96,44.9,100,100,66.52,64.39
218,ECU,Ecuador,16.385068,1.479917408,65.97305524,170.802,248360,10424.24725,69,57.42,87,82.97,57.48,100,99.93,30.44,21.4
818,EGY,Egypt,95.688681,2.016789456,96.12605455,987.436,995450,10319.25605,64.9,61.21,66,88.88,82.79,94.35,91.55,34.97,60.13
222,SLV,El Salvador,6.344722,0.509497673,306.2124517,50.69431137,20720,7989.997256,62.9,53.91,106,76.15,40.51,100,99.81,23.42,32.79
